passage_id,article_id,event_id,clean_outlet,canonical_target,framing_label,sentiment,evidence_span,subject,relation,object
fffa3fa866d842d8_p002,fffa3fa866d842d8,EVT_00007,news18,Assam,Nationalism,Neutral,BJP Candidates List Assam Assembly Elections 2026,,,
fffa3fa866d842d8_p002,fffa3fa866d842d8,EVT_00007,news18,BJP,Nationalism,Positive,The BJP in Assam has released its first list of candidates for the 2026 assembly elections.,BJP,released,candidate list
fffa3fa866d842d8_p010,fffa3fa866d842d8,EVT_00007,news18,BJP,Attack/Defence,Negative,accused the government of bulldozing,Congress,accused,Modi
5a27006c568b3c76_p009,5a27006c568b3c76,EVT_00007,news18,Mishra,Attack/Defence,Negative,Santrupt Mishra (BJD),BJD,attacked,Mishra
7832c3156564da3f_p003,7832c3156564da3f,EVT_00007,news18,AIADMK,Attack/Defence,Neutral,"Tamil Nadu’s main opposition party, AIADMK",AIADMK,received,Neutral sentiment score
7832c3156564da3f_p003,7832c3156564da3f,EVT_00007,news18,Edappadi K Palaniswami,Attack/Defence,Positive,party chief Edappadi K Palaniswami set to contest from his home constituency of Edappadi,Edappadi K Palaniswami,contest,Edappadi constituency
7832c3156564da3f_p007,7832c3156564da3f,EVT_00007,news18,newwave,Attack/Defence,Neutral,Dravidian Legacy Vs New Wave:,Dravidian,Vs,New Wave
7832c3156564da3f_p007,7832c3156564da3f,EVT_00007,news18,dravidianlegacy,Attack/Defence,Positive,What 15 Years Of Tamil Nadu Poll Trends Tell Us About 2026 Contest,trends,tell,dravidianlegacy
7832c3156564da3f_p010,7832c3156564da3f,EVT_00007,news18,thangamani,Attack/Defence,Negative,"P Thangamani from Thondamuthur and Kumarapalayam, respectively, have also been fielded.",P Thangamani,fielded,thangamani
7832c3156564da3f_p010,7832c3156564da3f,EVT_00007,news18,velumani,Attack/Defence,Negative,"Key leaders, including SP Velumani",Key leaders,attacked,velumani
7832c3156564da3f_p015,7832c3156564da3f,EVT_00007,news18,rajenthra,Attack/Defence,Negative,K.T. Rajenthra Bhalaji — Sivakasi,K.T.,received,Negative sentiment score
7832c3156564da3f_p015,7832c3156564da3f,EVT_00007,news18,sivakasi,Attack/Defence,Neutral,Sivakasi,Sivakasi,received,Neutral sentiment score
7832c3156564da3f_p019,7832c3156564da3f,EVT_00007,news18,DMK,Attack/Defence,Neutral,"led by the Dravida Munnetra Kazhagam (DMK), bagged 159 seats.",DMK,led,Dravida Munnetra Kazhagam (DMK)
25f0a4b9ac65eeb0_p007,25f0a4b9ac65eeb0,EVT_00031,india_today,coal scam,Attack/Defence,Negative,The ED alleged its searches were obstructed and that relevant documents and devices were removed,ED,alleged,obstruction
25f0a4b9ac65eeb0_p007,25f0a4b9ac65eeb0,EVT_00031,india_today,ED,Attack/Defence,Negative,its searches were obstructed,Congress,obstructed,searches
