passage_id,article_id,event_id,clean_outlet,framing_label,canonical_target,sentiment,confidence,evidence_span
fffa3fa866d842d8_p001,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,BJP (Bharatiya Janata Party),Positive,0.9,Assam Elections 2026: Full List Of BJP Candidates And Their Constituencies For Assembly Polls
fffa3fa866d842d8_p002,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,BJP,Neutral,1.0,released its first list of candidates for the 2026 assembly elections.
fffa3fa866d842d8_p003,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,Bharatiya Janata Party (BJP),Positive,1.0,The Bharatiya Janata Party (BJP) in Assam has released the first list of candidates for the upcoming 2026 assembly elections.
fffa3fa866d842d8_p004,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,Chief Minister Himanta Biswa Sarma,Neutral,0.9,"Chief Minister Himanta Biswa Sarma, a key figure of the party in Assam, will contest from the Jalukbari assembly constituency."
fffa3fa866d842d8_p005,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,Assam Elections,Neutral,1.0,Assam Elections 2026: Full List Of Congress Candidates And Their Constituencies For Assembly Polls
fffa3fa866d842d8_p006,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,BJP (Bharatiya Janata Party),Positive,0.9,"""BJP Names RG Kar Victim’s Mother As Candidate In Third List For Bengal Elections"""
fffa3fa866d842d8_p007,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,Nandita Garlosa,Positive,0.9,Joins Congress ahead Of Assam polls
fffa3fa866d842d8_p008,fffa3fa866d842d8,EVT_00007,news18,Development,IIT JAM,Neutral,1.0,IIT JAM 2026 Results Declared: What's Next? Know The Counselling Process
fffa3fa866d842d8_p009,fffa3fa866d842d8,EVT_00007,news18,Development,Sarma,Positive,0.9,"Jalukbari is considered Sarma’s stronghold, as the Assam Chief Minister has secured victory on the seat in all the previous assembly elections held in 2001, 2006, 2011, 2016, and 2021."
fffa3fa866d842d8_p010,fffa3fa866d842d8,EVT_00007,news18,Turncoats and Political Loyalty,Pradyut Bordoloi,Negative,0.9,"Pradyut Bordoloi, the Congress turncoat"
fffa3fa866d842d8_p011,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,Election Commission of India,Positive,0.9,The vote counting will be held on May 4.
fffa3fa866d842d8_p012,fffa3fa866d842d8,EVT_00007,news18,Protest,Ashwini Ray Sarkar,Negative,0.9,Golakganj – Ashwini Ray Sarkar
fffa3fa866d842d8_p013,fffa3fa866d842d8,EVT_00007,news18,Development,Pabitra Rabha,Neutral,0.8,Goalpara West (ST) – Pabitra Rabha
fffa3fa866d842d8_p014,fffa3fa866d842d8,EVT_00007,news18,Development,Tankeshwar Rabha,Neutral,0.8,Dudhnai (ST) – Tankeshwar Rabha
fffa3fa866d842d8_p015,fffa3fa866d842d8,EVT_00007,news18,Election Strategy,Arup Kumar Dey,Negative,0.85,Bijni – Arup Kumar Dey
fffa3fa866d842d8_p016,fffa3fa866d842d8,EVT_00007,news18,Violence,Ranjeet Kumar Dass,Negative,0.85,Bhowanipur-Sorbhog – Ranjeet Kumar Dass
fffa3fa866d842d8_p017,fffa3fa866d842d8,EVT_00007,news18,Development,Badal Chandra Arjya,Neutral,0.9,Mandia – Badal Chandra Arjya
fffa3fa866d842d8_p018,fffa3fa866d842d8,EVT_00007,news18,Violence,Raju Mech,Negative,0.9,(Boko-Chayon (ST) – Raju Mech)
fffa3fa866d842d8_p019,fffa3fa866d842d8,EVT_00007,news18,Protest,Himanshu Shekhar Baishya,Negative,0.9,Palasbari – Himanshu Shekhar Baishya
fffa3fa866d842d8_p020,fffa3fa866d842d8,EVT_00007,news18,Violence,Diplu Ranjan Sarmah,Negative,0.9,New Guwahati – Diplu Ranjan Sarmah
fffa3fa866d842d8_p021,fffa3fa866d842d8,EVT_00007,news18,Violence,Vijay Kumar Gupta,Negative,0.8,Guwahati Central – Vijay Kumar Gupta
fffa3fa866d842d8_p022,fffa3fa866d842d8,EVT_00007,news18,Policy,Himanta Biswa Sarma,Neutral,0.8,Jalukbari – Himanta Biswa Sarma
5a27006c568b3c76_p001,5a27006c568b3c76,EVT_00007,news18,Development,Rajya Sabha MPs,Neutral,0.9,Top 10 Richest Rajya Sabha MPs And Their Assets
5a27006c568b3c76_p002,5a27006c568b3c76,EVT_00007,news18,Corruption,Rajya Sabha MPs,Neutral,0.8,"Here’s a look at top 10 richest Rajya Sabha MPs with highest declared assets, based on affidavits"
