event_id,total_articles_published,unique_outlets_covering,list_of_outlets,main_headline
EVT_00073,6,5,"['ndtv', 'the_new_indian_express', 'theprint', 'the_hindu', 'firstpost']",A charged political debate is underway on the first day of the special session of Parliament on Thursday after Union ministers Arjun Ram Meghwal and Amit Shah introduced three bills in the Lok Sabha to amend the women’s quota law and set up a delimit...
EVT_00067,5,5,"['indian_express', 'news18', 'india_today', 'theprint', 'hindustan_times']","Priyanka Gandhi Takes 'Chanakya' Swipe At Amit Shah On Delimitation, Invoking Ancient Strategy To Critique Modern Maths"
EVT_00031,6,4,"['indian_express', 'the_times_of_india', 'ndtv', 'india_today']",ED arrests I-PAC co-founder in Bengal coal scam probe ahead of assembly polls
EVT_00045,8,4,"['the_hindu', 'firstpost', 'theprint', 'the_new_indian_express']","Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, ..."
EVT_00062,5,4,"['firstpost', 'the_times_of_india', 'india_today', 'hindustan_times']",‘Attacks on merchant shipping unacceptable’: Jaishankar at Japan-hosted Azec Plus meeting
EVT_00055,5,3,"['firstpost', 'india_today', 'hindustan_times']","TCS Nashik office shut amid probe into religious conversion allegations, international links under scanner"
EVT_00065,7,3,"['news18', 'india_today', 'hindustan_times']",How PM Modi turned debate on women's quota into a dare for opposition
EVT_00064,3,3,"['indian_express', 'news18', 'hindustan_times']","Amid firestorm over delimitation, why Parliament should rise to clear women’s quota"
EVT_00060,5,3,"['deccan_herald', 'news18', 'hindustan_times']",'Southern states will be stifled': Opposition unites in flagging concerns on delimitation
EVT_00068,2,2,"['the_new_indian_express', 'the_times_of_india']","NEW DELHI: A ground collision between two aircraft at Indira Gandhi International Airport on Thursday left both planes damaged after a SpiceJet aircraft, while taxiing, struck a stationary Akasa Air plane."
EVT_00007,4,2,"['indian_express', 'news18']",Assam Elections 2026: Full List Of BJP Candidates And Their Constituencies For Assembly Polls
