article_id,event_id,clean_outlet,publish_time,publish_date_only,headline,full_text,low_quality,is_wire_copy,article_count,unique_outlet_count,cluster_confidence,is_low_quality_event,failed_coherence_audit,is_template_junk
fffa3fa866d842d8,EVT_00007,news18,2026-03-19 13:22:36,2026-03-19,Assam Elections 2026: Full List Of BJP Candidates And Their Constituencies For Assembly Polls,"Assam Elections 2026: Full List Of BJP Candidates And Their Constituencies For Assembly Polls
BJP Candidates List Assam Assembly Elections 2026: The BJP in Assam has released its first list of candidates for the 2026 assembly elections.
BJP Candidates List Assam Assembly Elections 2026: The Bharatiya Janata Party (BJP) in Assam has released the first list of candidates for the upcoming 2026 assembly elections.
Chief Minister Himanta Biswa Sarma, a key figure of the party in Assam, will contest from the Jalukbari assembly constituency.
Recommended Stories
- Assam Elections 2026: Full List Of Congress Candidates And Their Constituencies For Assembly Polls
- BJP Names RG Kar Victim’s Mother As Candidate In Third List For Bengal Elections
- Nandita Garlosa Joins Congress Ahead Of Assam Polls After BJP Denies Ticket
- IIT JAM 2026 Results Declared: What's Next? Know The Counselling Process
Jalukbari is considered Sarma’s stronghold, as the Assam Chief Minister has secured victory on the seat in all the previous assembly elections held in 2001, 2006, 2011, 2016, and 2021.
Pradyut Bordoloi, the Congress turncoat, who joined the BJP yesterday, has been fielded from the Dispur assembly constituency.
Polling Schedule In Assam
The Assembly Election in Assam has been scheduled in a single phase, with polling to be held on April 9, 2026, according to the Election Commission of India (ECI). The vote counting will be held on May 4.
Check Full List Here
Golakganj – Ashwini Ray Sarkar
Dhubri – Uttam Prasad
Birsing-Jarua – Madhavi Das
Goalpara West (ST) – Pabitra Rabha
Dudhnai (ST) – Tankeshwar Rabha
Abhayapuri – Bhupen Roy
Bijni – Arup Kumar Dey
Bhowanipur-Sorbhog – Ranjeet Kumar Dass
Mandia – Badal Chandra Arjya
Chamaria – Jyostna Kalita
Boko-Chaygaon (ST) – Raju Mech
Palasbari – Himanshu Shekhar Baishya
Rangia – Bhabesh Kalita
Kamalpur – Diganta Kalita
Dispur – Pradyut Bordoloi
New Guwahati – Diplu Ranjan Sarmah
Guwahati Central – Vijay Kumar Gupta
Jalukbari – Himanta Biswa Sarma
Barkhetri – Narayan Deka",False,False,4,2,0.23,True,False,False
5a27006c568b3c76,EVT_00007,news18,2026-03-24 18:00:51,2026-03-24,Top 10 Richest Rajya Sabha MPs And Their Assets,"Top 10 Richest Rajya Sabha MPs And Their Assets
Curated By :
Edited By:
Last Updated:
Here’s a look at top 10 richest Rajya Sabha MPs with highest declared assets, based on affidavits, according to a report by the Association for Democratic Reforms (ADR).
1/10
Bandi Saradhi: Telangana MP Sri Dr Bandi Partha Saradhi (BRS) tops the list with total assets of Rs 5300+ crore, driven largely by Rs 5215+ crore in movable holdings.
2/10
Rajinder Gupta: AAP’s Rajinder Gupta ranks second with Rs 5053+ crore, combining Rs 4437+ crore movable assets and Rs 615+ crore in immovable properties.
ADVERTISEMENT
3/10
A.A.R Reddy: Alla Ayodhya Rami Reddy (YSRCP), Andhra Pradesh, reports Rs 2577+ crore total assets, with Rs 2518+ crore movable and Rs 59 + crore immovable wealth.
4/10
Abhishek Manu Singhvi: Abhishek Manu Singhvi (INC), Telangana, holds Rs 2558+ crore, including Rs 2104+ crore movable assets and Rs 453+ crore in immovable property.
ADVERTISEMENT
5/10
Jaya Bachchan: Samajwadi Party’s Jaya Amitabh Bachchan declared Rs 1578+ crore, with a near-even split between Rs 849 + crore movable and Rs 729 + crore immovable assets.
6/10
Kapil Sibal: Independent MP, Kapil Sibal, Uttar Pradesh, lists Rs 608+ crore total assets, comprising Rs 376+ crore movable and Rs 232+ crore immovable holdings. (Image: Instagram)
ADVERTISEMENT
7/10
Santrupt Mishra: Santrupt Mishra (BJD), Odisha, reported Rs 595 + crore in assets, largely from Rs 533+ crore movable wealth and Rs 61+ crore immovable assets.
8/10
Vikramjit Singh Sahney: AAP’s leader declared Rs 498 + crore total assets, with Rs 466+ crore movable and Rs 31+ crore in immovable property.
ADVERTISEMENT
9/10
M.R. Reddy: Meda Raghunadha Reddy (YSRCP), Andhra Pradesh, reported Rs 475+ crore, with a higher share in Rs 372+ crore immovale assets than Rs 102+ crore movable. (Image: Instagram)
Check Kerala Elections, Assam Elections, Puducherry Elections Live Coverage. Kerala Voter Turnout, Assam Voter Turnout, Puducherry Voter Turnout Realtime Updates.
Next Photogallery",False,False,4,2,0.23,True,False,False
9e6e12ffe0d2a6e8,EVT_00007,indian_express,2026-03-24 06:25:03,2026-03-24,"As govt considers expanding Lok Sabha to 816 MPs, how states’ seat count will change","As govt considers expanding Lok Sabha to 816 MPs, how states’ seat count will change
At current ratios, UP will get 120 MPs, Maharashtra 72, and West Bengal 63.
The Centre is exploring the possibility of delinking the Women’s Reservation Act, 2023 — which seeks to reserve one-third of seats in the Lok Sabha and state Assemblies for women — from the impending Census and delimitation exercises, and learnt to have suggested that the strength of the Lok Sabha be raised from the current 543 to 816, including 273 seats reserved for women. A reconfigured Lok Sabha would only come into force in the 2029 Lok Sabha polls.
As reported by The Indian Express on Monday, at the meeting with some Opposition parties Union Home Minister Amit Shah suggested amending the Act and separately raising the total strength of the Lok Sabha while maintaining the current proportions of seats allotted to each state. However, delimitation or redrawing seat boundaries is expected to be pegged to the 2011 Census.
Going by the current state-wise allocation of seats, Uttar Pradesh by far has the highest proportion of Lok Sabha seats: 15% or 80 of the total 543. If this proportion is to be maintained in an 816-member Lok Sabha, UP will have 120 seats, including 40 reserved for women.
Similarly, Maharashtra will go from 48 seats to 72, including 24 reserved for women, Bengal will go from 42 to 63 seats, with 21 for women, and Bihar will go from 40 to 60 seats, including 20 reserved for women. In Tamil Nadu, where the DMK has led the charge against the state’s alleged underrepresentation in Parliament, the number of Lok Sabha seats will rise from 39 to 59, with 20 seats reserved for women. Madhya Pradesh, meanwhile, will rise from 29 seats to 44 with 15 seats for women.
Among the smaller states, Arunachal Pradesh, Goa, Manipur, Meghalaya, Tripura could go from 2 Lok Sabha seats to 3 each. Mizoram, Nagaland and Sikkim, which each have 1 seat, could have 2 seats each in the new Lok Sabha configuration.
Among the major Union Territories, Delhi could rise from 7 Lok Sabha seats to 11 with 4 reserved for women, while Jammu and Kashmir would rise from 5 to 8 seats with 3 reserved for women. However, it remains unclear if the single-seat UTs, including Ladakh and Puducherry among others, will see an increase in the number of seats and how they may be reserved for women.",False,False,4,2,0.23,True,False,False
7832c3156564da3f,EVT_00007,news18,2026-03-25 11:35:56,2026-03-25,Tamil Nadu Elections 2026: Full List Of AIADMK Candidates And Their Constituencies For Assembly Polls,"Tamil Nadu Elections 2026: Full List Of AIADMK Candidates And Their Constituencies For Assembly Polls
AIADMK led by Edappadi K Palaniswami names 23 candidates for Tamil Nadu polls.
Tamil Nadu’s main opposition party, AIADMK, on Wednesday released its first list of 23 candidates for the State Assembly polls, with party chief Edappadi K Palaniswami set to contest from his home constituency of Edappadi.
In Tamil Nadu, the polling will be held in a single phase on April 23 to elect 234 members to the legislative assembly, with vote counting scheduled for May 4.
Recommended Stories
- Tamil Nadu Elections 2026: AIADMK Releases Second List, 150 Candidates Named So Far
- 2026 Tamil Nadu Elections: Which Party Got How Many Seats In DMK-Led SPA, AIADMK-Led NDA?
- Dravidian Legacy Vs New Wave: What 15 Years Of Tamil Nadu Poll Trends Tell Us About 2026 Contest
- Tamil Nadu Election 2026: The 20 Constituencies That Will Decide State's Next Government
The party, which is leading the National Democratic Alliance (NDA) in the state, retained several senior leaders in its initial list, including KP Munusamy, Dindigul C Sreenivasan and Natham R Viswanathan.
Key leaders, including SP Velumani and P Thangamani from Thondamuthur and Kumarapalayam, respectively, have also been fielded.
Check Full List
Edappadi K Palaniswami — Edappadi
C. Vijayabaskar — Viralimalai
M.R. Vijayabaskar — Karur
S.P. Velumani — Thondamuthur
D. Jayakumar — Royapuram
Natham R. Viswanathan — Natham
P. Thangamani — Kumarapalayam
C.Ve. Shanmugam — Mailam
Sellur K. Raju — Madurai West
K.P. Anbazhagan — Palacode
R. Kamaraj — Nannilam
O.S. Manian — Vedaranyam
C. Vijayabaskar — Viralimalai
Kadambur C. Raju — Kovilpatti
R.B. Udhayakumar — Tirumangalam
K.T. Rajenthra Bhalaji — Sivakasi
P. Benjamin — Maduravoyal
Agri S.S. Krishnamurthy — Kalasapakkam
V.V. Rajan Chellappa — Tirupparankundram
K.C. Karuppannan — Bhavani
K.C. Veeramani — Jolarpet
M.R. Vijayabaskar — Karur
S. Rajendran — Ariyalur
Tamil Nadu is set to witness a three-way contest with the DMK-led alliance, the AIADMK-BJP combine, and actor-turned-politician Vijay’s Tamilaga Vettri Kazhagam (TVK).
In the Tamil Nadu elections in 2021, the Secular Progressive Alliance (SPA), led by the Dravida Munnetra Kazhagam (DMK), bagged 159 seats.
The DMK alone won 133 constituencies, securing an absolute majority for the first time in 25 years. The NDA secured 75 seats, of which 66 were won by the AIADMK.",False,False,4,2,0.23,True,False,False
25f0a4b9ac65eeb0,EVT_00031,india_today,2026-04-14 00:01:52,2026-04-14,ED arrests I-PAC co-founder in Bengal coal scam probe ahead of assembly polls,"ED arrests I-PAC co-founder in Bengal coal scam probe ahead of assembly polls
The case stems from a CBI FIR on illegal mining and alleged hawala transactions, and comes amid heightened political activity ahead of the state Assembly elections.
The Enforcement Directorate (ED) on Monday arrested Vinesh Chandel, director and co-founder of political consultancy firm Indian Political Action Committee, in connection with a money-laundering case linked to an alleged coal scam in West Bengal, weeks ahead of the Assembly elections.
Chandel was taken into custody under the Prevention of Money Laundering Act (PMLA) in New Delhi late in the evening and is expected to be produced before a special court, where the agency will seek his custodial remand for further questioning.
Earlier, the ED conducted searches on April 2 at Chandel’s Delhi residence, the Bengaluru premises of I-PAC co-founder Rishi Raj Singh, and the Mumbai residence of former AAP communications in-charge Vijay Nair as part of the probe.
On January 8, the agency had also searched the I-PAC office and the Kolkata residence of its founder Pratik Jain, triggering a controversy after Chief Minister Mamata Banerjee reached the spot with state officials and took away documents.
The ED alleged its searches were obstructed and that relevant documents and devices were removed, while the All India Trinamool Congress rejected the charge, accusing the agency of targeting election strategy material ahead of the polls.
The elections in West Bengal are scheduled in two phases on April 23 and April 29. I-PAC has been providing political consultancy services to the Trinamool and the state government since 2021.
The ED has moved the Supreme Court of India seeking a CBI probe into the alleged obstruction, and the matter is currently under hearing.
The case stems from a November 2020 FIR registered by the Central Bureau of Investigation, alleging a multi-crore coal pilferage racket linked to mines operated by Eastern Coalfields Limited in the Kunustoria and Kajora areas near Asansol.
According to the ED, a hawala operator linked to the alleged coal-smuggling network routed transactions worth tens of crores of rupees to Indian PAC Consulting Private Limited, the registered entity of I-PAC.",False,False,6,4,0.39,True,False,False
edc8b4cd2fd7a460,EVT_00031,indian_express,2026-04-14 07:15:00,2026-04-14,"After five years, Rahul gets set to begin Bengal campaign; Priyanka to follow suit","After five years, Rahul gets set to begin Bengal campaign; Priyanka to follow suit
Rahul may walk a tightrope during his Bengal campaign, keeping his guns trained on BJP while refraining from mounting an all-out attack against the incumbent Mamata Banerjee-led TMC.
Leader of the Opposition (LoP) in the Lok Sabha, Rahul Gandhi, is going to start his campaign for the Congress in the West Bengal Assembly elections on Tuesday – five years after he undertook a poll campaign for his party in the state.
Rahul’s sister and All India Congress Committee (AICC) general secretary, Priyanka Gandhi, is also set to visit Bengal to canvass for the Congress candidates in the coming days.
Bengal is scheduled for the elections on April 23 and April 29, which may be a keen battle between the ruling Trinamool Congress (TMC) and the principal Opposition BJP, with the other two major contenders – the CPI(M)-led Left Front and the Congress – fighting separately.
Rahul will kick off his campaign from Uttar Dinajpur before going to address rallies in Malda and Murshidabad, Congress sources said. These three Muslim-dominated districts, once known as the Congress strongholds, still have pockets of the party’s influence.
Rahul is likely to return to campaign in these districts as well as Purulia and some areas in North Bengal, where the Congress is hoping to win seats in the upcoming polls. The party had drawn a blank in the state in the 2021 Assembly elections when it had fought in alliance with the Left.
Priyanka may also campaign in these districts, although her schedule has yet to be finalised, Congress sources said.
A senior state Congress leader said, “Both Rahul and Priyanka would campaign in the Baharampur constituency where our heavyweight candidate Adhir Ranjan Chowdhury is contesting.” The former Congress leader in the Lok Sabha and five-term MP, Chowdhury, 70, has returned to Bengal politics to contest the Assembly election from his home turf Baharampur after three decades.
The last time Rahul had hit the campaign trail in Bengal was in the previous elections, when he had begun from north Bengal on April 14, 2021. He had then described the BJP’s promise of ensuring a “Sonar Bangla (Golden Bengal)” as a “mirage”, alleging that the BJP was out to destroy the culture of Bengal. “Wherever the BJP goes, Narendra Modi goes, the RSS goes, they start spreading hatred and start dividing the people,” Rahul had then alleged while addressing a rally in Siliguri.
His 2021 campaign was “truncated” due to the Covid pandemic’s second wave.
In the 2024 Lok Sabha elections, Rahul Gandhi did not visit Bengal for campaigning. The Congress was then again contesting the polls in alignment with the Left. The party had then even won one seat with its leader Isha Khan Chowdhury winning from the Malda Dakshin parliamentary constituency.
In early 2024, however, Rahul had crossed Bengal in the course of his “Bharat Jodo Nyay Yatra”, traversing some districts across northern and southern parts of Bengal.
Many in the Bengal Congress believe that the campaigning of Rahul and Priyanka would boost the party’s prospects in the elections, especially in districts like Murshidabad and Malda. The Congress’s election manifesto was released by AICC chief Mallikarjun Kharge in Kolkata last week.
Observers say Rahul may walk a tightrope during his Bengal campaign, keeping his guns trained on the BJP while refraining from mounting an all-out attack against the incumbent Mamata Banerjee-led TMC which is aiming for its fourth successive term. A major reason for such an approach, they say, could be the Congress’s “bigger goal of defeating the ruling BJP at the national level for which a unity of all Opposition parties is a key factor”.
A senior Congress leader however said, “This election would still be our acid test. We want to gauge our vote share in Bengal. So we are consolidating our forces where we still have strength. We feel that in some minority belts there is some resentment towards the TMC, and those votes would come to us rather than the Left. It will help us open our account this time.”",False,False,6,4,0.39,True,False,False
91a9f6a15fb12a4e,EVT_00031,ndtv,2026-04-16 21:12:22,2026-04-16,Top Court Allows Last-Minute Inclusion Of 'Cleared' Voters In Bengal Rolls,"Voters in Bengal whose names are deleted, can be reinstated in the electoral rolls and cast their vote if they are cleared in time by the Supreme Court-appointed appellate tribunal, the top court said today in a significant departure from the current rules.

""If the Appellate Tribunal accepts an appeal and issues a final order regarding the addition or deletion of names then then such an order must be implemented prior to the voting,"" said the bench of Chief Justice of India Surya Kant and Justice Joymalya Bagchi, invoking its powers under Article 142 to ensure that eligible voters are not left out of the election.

The top court also asked the Election Commission to issue a supplementary voter list in such cases.

""If the appeals are adjudicated by April 21 for the first phase and April 27 for the second phase then a supplementary revised electoral roll must be issued,"" the court said.

The first phase of polling will be held on April 23 and the second on April 29.

Under the current rules, the voter list for a particular phase of election is frozen on the last day of filing of nominations and in Bengal, lists for both phases were frozen weeks ago.

The Special Intensive Revision or SIR exercise in Bengal has knocked out 91 lakh people from the electoral rolls -- the number of voters in the state has dropped from 766 lakh to 677 lakh.

Around 60.06 lakh names were kept under review -- many to address discrepancies in names or spellings. Following verification, 35 lakh of these names were reinstated in the electoral list, while around 25 lakh names were permanently deleted.

Though the adjudication process is still on, there was little chance that the people on the hold list would be able to vote.

The top court's decision -- giving them a chance -- came after the poll body submitted the data on April 7.",False,False,6,4,0.39,True,False,False
af9c233c50341db7,EVT_00031,india_today,2026-04-16 19:58:56,2026-04-16,SC junks plea against poll body's transfers of top Bengal cops and bureaucrats,"SC junks plea against poll body's transfers of top Bengal cops and bureaucrats
The Supreme Court dismissed a plea challenging the Election Commission's decision to transfer senior bureaucrats and police officers in West Bengal ahead of the April 23 and 29 Assembly elections, saying such steps were routine to ensure free and fair polls.
The Supreme Court on Thursday dismissed a plea challenging the Election Commission's decision to transfer senior bureaucrats and police officers in West Bengal ahead of the April 23 and 29 Assembly elections, observing that such measures were routine to ensure free and fair polls.
A bench led by Chief Justice of India (CJI) Surya Kant said, “It happens everywhere. Not the first time,” while declining to interfere with the large-scale reshuffle ordered after the Model Code of Conduct (MCC) came into force in West Bengal.
The Supreme Court was hearing an appeal against an order of the Calcutta High Court, which had upheld the transfers of key officials, including the Chief Secretary, Director General of Police, Home Secretary and several District Magistrates and Superintendents of Police.
Appearing for the petitioner, senior advocate Kalyan Banerjee argued that the poll body acted without consulting the state government, calling the process “in contravention” of the Representation of the People Act, 1951. “The power of superintendence does not take away legislative power... State consultation is needed,” Bar and Bench quoted him as saying.
The petition, filed by advocate Arka Kumar Nag, alleged that the Election Commission carried out large-scale transfers, effectively removing a substantial portion of West Bengal’s senior administrative and police leadership.
Nag alleged that several senior IPS officers from the state cadre were sent out on election observer duties to states such as Tamil Nadu, Kerala and Nagaland. He claimed that the Election Commission's move was prejudicial to public interest and violated the principles of federalism.
The bench, however, pushed back, noting that such transfers are not unprecedented and are part of standard election management practices. It also remarked that “an observer from outside the state is always ideal” to ensure neutrality in the electoral process.
At the same time, the court acknowledged merit in the legal question raised. “Petitioner has raised substantial questions of law. However, we are not intervening in it as of now. Question of law is kept open,” the bench said, indicating that the issue of mandatory consultation with the state could be examined in a future case.
The High Court, in its earlier ruling, had held that once the petitioner himself acknowledged the Election Commission’s power to transfer officials, there was no reason for the court to undertake a “roving enquiry” into the exercise of that authority. It also observed that the reshuffle had not caused any “administrative numbness” in the state.
The controversy erupted last month when the Election Commission ordered widespread transfers across the state, drawing objections from the West Bengal government, which accused the poll body of acting unilaterally and undermining the authority of the elected administration.",False,False,6,4,0.39,True,False,False
b6174bbcd1ffe6a4,EVT_00031,ndtv,2026-04-16 21:57:16,2026-04-16,"Jobs, Clean Governance: Suvendu Adhikari On What BJP Will Deliver In Bengal","West Bengal will vote for its 294-member assembly in two phases on April 23 and April 29. Counting of votes will take place on May 4. Speaking on NDTV's Walk the Talk, recorded in the Bhowanipore constituency, BJP leader Suvendu Adhikari positioned himself as the face of the party's campaign against the Trinamool Congress and Chief Minister Mamata Banerjee.

Adhikari stated that the welfare schemes now associated with the Trinamool Congress originated in BJP-ruled states. He claimed the model began under Shivraj Singh Chouhan as Chief Minister of Madhya Pradesh and Sarbanand Sonowal as Chief Minister of Assam.

""Mamata Banerjee and PK copied them. These are BJP schemes,"" he told NDTV's Editor-in-Chief Rahul Kanwal. He added that the BJP would combine welfare with job creation.

""Along with the welfare scheme, we promised to create jobs. Every central scheme will be implemented to build Bengal economically and to make it a cultural and spiritual capital of the country,"" Adhikari told NDTV.

Adhikari noted a ""huge gap"" in employment and said the public should receive government support to close it. ""The BJP government will fix this gap,"" he declared.

He described Bengal as the land of Chaitanya Dev, Swami Vivekananda and Maa Sarada. He stressed that the BJP is neither a regional party nor a personal party.

""Under the supervision of Narendra Modi, in his guidance, Delhi, UP, Bihar, Maharashtra, Gujarat, Odisha, Andhra Pradesh, wherever the BJP government comes, the way it is running, Bengal will also follow that path,"" Adhikari declared.

""There will be no corruption on that path. There will be no brother-nephew relationship. There will be no politics of corruption,"" he added.

Adhikari dismissed Mamata Banerjee's claim that a BJP victory would direct all contracts to Gujaratis.

Adhikari claimed areas in south-west Bengal and Kolkata where the TMC defeated the BJP badly in the last election, would now see BJP victories. He went as far as naming certain candidates who will win in the polls.

""Pratap Chaurangi will win, Santosh Pathak will win, Surnima Bhain will win, Vijay Ujja will succeed. Kolkata has woken up,"" Adhikari declared.

Adhikari dismissed Mamata Banerjee's claim that a BJP victory would direct all contracts to Gujaratis.

""She is trying to make a narrative. All these people are liars. In 21 states, BJP and India are the government. In 20-21 states, there are no such incidents. All this is a lie. Mamata Bajernee is a liar,"" Adhikari claimed.

On urban support, Adhikari argued that the bhadralok class in Bengal is ready to move away from the TMC. He cited Lok Sabha election results in urban areas, noting that in North Kolkata, which has 50 or 60 wards, the BJP won 28 wards.",False,False,6,4,0.39,True,False,False
e30f5bc104189ee4,EVT_00031,the_times_of_india,2026-04-16 03:25:00,2026-04-16,"NEW DELHI: The West Bengal illegal coal mining racket - origin of the ongoing ED probe against political consultancy firm I-PAC - was run by a syndicate led by Anup Majee, also known within the network as ""Lala"". At the heart of the investigation is ...","NEW DELHI: The West Bengal illegal coal mining racket - origin of the ongoing ED probe against political consultancy firm I-PAC - was run by a syndicate led by Anup Majee, also known within the network as ""Lala"". At the heart of the investigation is an illegal transport challan system called ""Lala Pad"".
It functioned as a fake tax invoice issued in the name of non-existent entities for transporting illegal coal, and according to ED, the syndicate used unique identifiers to ensure the consignment reached its intended destination - unrestricted.
With each fake challan, a currency note of Rs 10 or Rs 20 was provided to the transporter, who would take a photo of the note while holding it beside the number plate of a truck, dumper or tipper carrying the illegal coal and send the image to the operator of the syndicate, the agency said.
The note's serial number and number plate became the 'matching identifiers' - and the photo was then circulated by the operator through WhatsApp to police officials and other govt authorities concerned along the vehicle's route, ensuring the vehicle was not intercepted, or if intercepted, was immediately released, according to ED.
The investigation has also uncovered the use of an underground hawala network.
Lala's syndicate supplied illegally excavated coal to certain beneficiary companies in West Bengal for cash, generating proceeds of crime, which was shared with politicians through their designated intermediaries and police officers.
Hawala operators transferred cash to beneficiaries and intermediaries authenticating the illegal cash transactions using the unique identifiers, typically the currency note's serial number shared between sender and recipient. Upon verification of the matching note, cash was handed over without any formal documentation, enabling seamless and untraceable movement of funds, the agency said.",False,False,6,4,0.39,True,False,False
