event_id,event_title,event_date,article_count,unique_outlet_count,outlets_covering,representative_headline,event_summary,cluster_confidence,is_low_quality_event
EVT_00067,Social media has proven to be central to political messaging but Rahul Gandhi has a lot of catching up to do when compared to BJP chief Amit Shah.,2026-04-16,5,5,"['news18', 'india_today', 'indian_express', 'hindustan_times', 'theprint']",Social media has proven to be central to political messaging but Rahul Gandhi has a lot of catching up to do when compared to BJP chief Amit Shah.,"‘Even Chanakya would be shocked’: Priyanka Gandhi's banter with Amit Shah in Lok Sabha
Breaking into a smile herself, Priyanka Gandhi said in Lok Sabha, “the home minister is laughing, their entire plan is ready"".
Congress leader and member of Parliament Priyanka Gandhi Vadra, in a light-hearted ban...",0.49,False
EVT_00073,A charged political debate is underway on the first day of the special session of Parliament on Thursday after Union ministers Arjun Ram Meghwal and Amit Shah introduced three bills in the Lok Sabha to amend the women’s quota law and set up a delimit...,2026-04-16,6,5,"['the_new_indian_express', 'ndtv', 'the_hindu', 'theprint', 'firstpost']",A charged political debate is underway on the first day of the special session of Parliament on Thursday after Union ministers Arjun Ram Meghwal and Amit Shah introduced three bills in the Lok Sabha to amend the women’s quota law and set up a delimit...,"A charged political debate is underway on the first day of the special session of Parliament on Thursday after Union ministers Arjun Ram Meghwal and Amit Shah introduced three bills in the Lok Sabha to amend the women’s quota law and set up a delimitation commission, amid opposition protests calling...",0.41,False
EVT_00045,"Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, ...",2026-04-15,7,4,"['theprint', 'the_hindu', 'the_new_indian_express', 'firstpost']","Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, ...","Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, made in a video on X, came after a meeting with DM...",0.4,False
EVT_00031,"NEW DELHI: The West Bengal illegal coal mining racket - origin of the ongoing ED probe against political consultancy firm I-PAC - was run by a syndicate led by Anup Majee, also known within the network as ""Lala"". At the heart of the investigation is ...",2026-04-14,6,4,"['india_today', 'indian_express', 'ndtv', 'the_times_of_india']","NEW DELHI: The West Bengal illegal coal mining racket - origin of the ongoing ED probe against political consultancy firm I-PAC - was run by a syndicate led by Anup Majee, also known within the network as ""Lala"". At the heart of the investigation is ...","After five years, Rahul gets set to begin Bengal campaign; Priyanka to follow suit
Rahul may walk a tightrope during his Bengal campaign, keeping his guns trained on BJP while refraining from mounting an all-out attack against the incumbent Mamata Banerjee-led TMC.
Leader of the Opposition (LoP) in ...",0.39,True
EVT_00062,"NEW DELHI: External affairs minister S Jaishankar Wednesday underlined India's strong commitment to safe and unimpeded transit passage of maritime shipping, saying attacks on merchant shipping were completely unacceptable.",2026-04-15,5,4,"['firstpost', 'the_times_of_india', 'hindustan_times', 'india_today']","NEW DELHI: External affairs minister S Jaishankar Wednesday underlined India's strong commitment to safe and unimpeded transit passage of maritime shipping, saying attacks on merchant shipping were completely unacceptable.","India’s External Affairs Minister S. Jaishankar on Wednesday said that attacks on merchant vessels are “completely unacceptable.” His remarks came during the ‘Azec Plus’ meeting hosted by Japan.

Jaishankar said that India remains strongly committed to ensuring safe and smooth passage for maritime s...",0.35,True
EVT_00060,Amit Shah's ‘No-Loss’ Guarantee For Southern States To Quell ‘Federal Friction’ On Delimitation,2026-04-15,5,3,"['deccan_herald', 'hindustan_times', 'news18']",Amit Shah's ‘No-Loss’ Guarantee For Southern States To Quell ‘Federal Friction’ On Delimitation,"‘Anti-national’: Opposition vows unity to defeat govt's proposal for Lok Sabha expansion
The government is set to introduce three bills –The Delimitation Bill, 2026, The Constitution Bill, 2026, and the Union Territories Laws (Amendment) Bill 2026
Opposition parties on Wednesday vowed unity to defea...",0.5,False
EVT_00055,"TCS Nashik office shut amid probe into religious conversion allegations, international links under scanner",2026-04-15,5,3,"['firstpost', 'india_today', 'hindustan_times']","TCS Nashik office shut amid probe into religious conversion allegations, international links under scanner","Police said they are probing possible funding angles and international links in the case, adding that the ATS and NIA have been informed and any emerging leads will be pursued as part of the investigation

Operations at the Tata Consultancy Services (TCS) office in Nashik have been suspended and mov...",0.47,False
EVT_00064,"Bill burnt, black flags raised: How Opposition pushed back against 3 key bills introduced in Parliament",2026-04-16,3,3,"['indian_express', 'hindustan_times', 'news18']","Bill burnt, black flags raised: How Opposition pushed back against 3 key bills introduced in Parliament","Amid firestorm over delimitation, why Parliament should rise to clear women’s quota
Will Parliament, Treasury camp and Opposition show wisdom and statesmanship to resolve the impasse? Or will women of India have to wait for another 30 years to get their due share? That is the heart of the matter.
Th...",0.38,True
EVT_00065,"‘Credit ka blank cheque’: PM Modi jibes at Oppn over women's quota bill, says ‘ready to give advertisement to anyone’",2026-04-16,7,3,"['india_today', 'news18', 'hindustan_times']","‘Credit ka blank cheque’: PM Modi jibes at Oppn over women's quota bill, says ‘ready to give advertisement to anyone’","In 37 minutes, PM turned women's quota debate into a masterclass in messaging
Prime Minister Narendra Modi steered a high-stakes Lok Sabha debate on the women's quota, blending optics with sharp political messaging as the Opposition signalled resistance through notes, nudges and coordinated response...",0.38,True
EVT_00087,"Uniform Civil Code A ""Constitutional Ambition"": Top Court On Shariat Plea",2026-04-16,2,2,"['ndtv', 'india_today']","Uniform Civil Code A ""Constitutional Ambition"": Top Court On Shariat Plea","Observing that a uniform civil code is a ""constitutional ambition"", the Supreme Court agreed on Thursday to hear a PIL challenging the constitutional validity of certain provisions of the Muslim Personal Law (Shariat) Application Act, 1937, on the ground that those are allegedly discriminatory again...",0.67,False
EVT_00110,"AAP MP attacks Centre's delimitation move, calls it unfair to Punjab",2026-04-16,2,2,"['hindustan_times', 'india_today']","AAP MP attacks Centre's delimitation move, calls it unfair to Punjab","BRS, YSRCP urge Centre to address South’s concerns on delimitation
BRS and YSR Congress support constituency delimitation but urge the Centre to ensure fair representation for southern states amid concerns over reduced seats.
Bharat Rashtra Samithi (BRS) and YSR Congress party, the major opposition ...",0.67,False
EVT_00092,"Around 100 women participated in an all-women motorcycle and scooter rally in the city on Thursday, expressing solidarity with the introduction of the Women’s Reservation Bill in the Lok Sabha. The Bill, officially titled the Nari Shakti Vandan Adhin...",2026-04-16,2,2,"['the_hindu', 'ndtv']","Around 100 women participated in an all-women motorcycle and scooter rally in the city on Thursday, expressing solidarity with the introduction of the Women’s Reservation Bill in the Lok Sabha. The Bill, officially titled the Nari Shakti Vandan Adhin...","Parliament Special Session LIVE: The Centre on Thursday introduced the Women's Reservation Bill in the Lok Sabha, marking a significant legislative move during the ongoing special session of Parliament.

Union Minister for Law and Justice Arjun Ram Meghwal initiated the debate by presenting the prop...",0.54,False
EVT_00122,"NEW DELHI: The Commission for Air Quality Management (CAQM) on Thursday imposed Stage-I measures across Delhi-NCR under the Graded Response Action Plan (GRAP) after air quality slipped into the ""poor"" category.",2026-04-16,2,2,"['the_times_of_india', 'ndtv']","NEW DELHI: The Commission for Air Quality Management (CAQM) on Thursday imposed Stage-I measures across Delhi-NCR under the Graded Response Action Plan (GRAP) after air quality slipped into the ""poor"" category.","NEW DELHI: The Commission for Air Quality Management (CAQM) on Thursday imposed Stage-I measures across Delhi-NCR under the Graded Response Action Plan (GRAP) after air quality slipped into the ""poor"" category.
“The AQI of Delhi has been showing an increasing trend owing to unfavourable meteorologic...",0.52,False
EVT_00033,"Bengaluru: Karnataka CM Siddaramaiah has ordered the ‘removal’ of his lone surviving political secretary, Naseer Ahmed, over allegations of anti-party activities and alleged funding of rebel candidates to help defeat the Congress candidate in the 9 A...",2026-04-14,2,2,"['theprint', 'the_new_indian_express']","Bengaluru: Karnataka CM Siddaramaiah has ordered the ‘removal’ of his lone surviving political secretary, Naseer Ahmed, over allegations of anti-party activities and alleged funding of rebel candidates to help defeat the Congress candidate in the 9 A...","Bengaluru: Karnataka CM Siddaramaiah has ordered the ‘removal’ of his lone surviving political secretary, Naseer Ahmed, over allegations of anti-party activities and alleged funding of rebel candidates to help defeat the Congress candidate in the 9 April Davanagere South assembly bypoll.
The order c...",0.51,False
EVT_00046,"Census 2027 begins: Over 700 officials to conduct door-to-door survey, Delhi areas divided into blocks",2026-04-15,3,2,"['news18', 'hindustan_times']","Census 2027 begins: Over 700 officials to conduct door-to-door survey, Delhi areas divided into blocks","Census 2027 begins: Over 700 officials to conduct door-to-door survey, Delhi areas divided into blocks
Officials said NDMC and DCB areas have been divided into 560 house-listing blocks, with each block covering around 180 households for the census exercise.
Over 700 trained personnel will start fiel...",0.49,False
EVT_00042,"A week to go, but where are they? Rahul Gandhi, Vijay trail in Tamil Nadu’s visibility race",2026-04-14,2,2,"['indian_express', 'india_today']","A week to go, but where are they? Rahul Gandhi, Vijay trail in Tamil Nadu’s visibility race","A week to go, but where are they? Rahul Gandhi, Vijay trail in Tamil Nadu’s visibility race
While leaders from DMK, AIADMK, and BJP intensify their efforts in the final leg of the campaign, national Congress leaders and the actor-politician have been conspicuous by their near absence.
With barely a ...",0.43,False
EVT_00066,"NEW DELHI: The Travancore Devaswom Board (TDB) on Wednesday asked a nine-judge bench of SC hearing the Sabarimala reference if despite the Constitution's making every religious denomination subject to 'public order, health and morality' and nudity in...",2026-04-16,2,2,"['the_times_of_india', 'the_hindu']","NEW DELHI: The Travancore Devaswom Board (TDB) on Wednesday asked a nine-judge bench of SC hearing the Sabarimala reference if despite the Constitution's making every religious denomination subject to 'public order, health and morality' and nudity in...","NEW DELHI: The Travancore Devaswom Board (TDB) on Wednesday asked a nine-judge bench of SC hearing the Sabarimala reference if despite the Constitution's making every religious denomination subject to 'public order, health and morality' and nudity in public being an offence, can courts ban public ap...",0.41,False
EVT_00068,"NEW DELHI: The aviation watchdog, the Directorate General of Civil Aviation, on Thursday de-rostered an officer of IGIA's Air Traffic Control (ATC) along with both the pilots operating the Spicejet aircraft involved in the collision. Sources familiar...",2026-04-16,2,2,"['the_times_of_india', 'the_new_indian_express']","NEW DELHI: The aviation watchdog, the Directorate General of Civil Aviation, on Thursday de-rostered an officer of IGIA's Air Traffic Control (ATC) along with both the pilots operating the Spicejet aircraft involved in the collision. Sources familiar...","NEW DELHI: The aviation watchdog, the Directorate General of Civil Aviation, on Thursday de-rostered an officer of IGIA's Air Traffic Control (ATC) along with both the pilots operating the Spicejet aircraft involved in the collision. Sources familiar with the issue said it was very likely that a Sur...",0.41,False
EVT_00103,"A nine-judge Constitution Bench of the Supreme Court (SC), led by Chief Justice of India Surya Kant, is currently hearing petitions relating to discrimination against women at religious places, examining the correctness and broader constitutional imp...",2026-04-16,3,2,"['the_hindu', 'the_new_indian_express']","A nine-judge Constitution Bench of the Supreme Court (SC), led by Chief Justice of India Surya Kant, is currently hearing petitions relating to discrimination against women at religious places, examining the correctness and broader constitutional imp...","NEW DELHI: The Supreme Court of India on Thursday upheld the preventive detention order passed by the Central Economic Intelligence Bureau and affirmed the Karnataka High Court order against Kannada actress Ranya Rao for allegedly smuggling gold into the country.
A bench of Justices M M Sundresh and...",0.39,True
EVT_00043,"New Delhi: Putting to rest all speculation on JD(U) chief Nitish Kumar’s son Nishant Kumar becoming the deputy chief minister of Bihar, senior JD(U) leaders Vijay Kumar Chaudhary and Bijendra Yadav took oath along with BJP’s Samrat Choudhary Wednesda...",2026-04-14,6,2,"['theprint', 'news18']","New Delhi: Putting to rest all speculation on JD(U) chief Nitish Kumar’s son Nishant Kumar becoming the deputy chief minister of Bihar, senior JD(U) leaders Vijay Kumar Chaudhary and Bijendra Yadav took oath along with BJP’s Samrat Choudhary Wednesda...","New Delhi: As Bihar’s longest-serving chief minister, Nitish Kumar, hangs up his boots, it marks the end of an era in the state’s politics—one that began with a strong push for development and a challenge to the “jungle raj” narrative, but gradually lost its sheen amid frequent shifts in political a...",0.36,True
EVT_00007,Tamil Nadu Elections 2026: Full List Of AIADMK Candidates And Their Constituencies For Assembly Polls,2026-03-19,4,2,"['news18', 'indian_express']",Tamil Nadu Elections 2026: Full List Of AIADMK Candidates And Their Constituencies For Assembly Polls,"Tamil Nadu Elections 2026: Full List Of AIADMK Candidates And Their Constituencies For Assembly Polls
AIADMK led by Edappadi K Palaniswami names 23 candidates for Tamil Nadu polls.
Tamil Nadu’s main opposition party, AIADMK, on Wednesday released its first list of 23 candidates for the State Assembl...",0.23,True
